"Package","Version","sha256","mac_3_4_sha256","mac_3_5_sha256","mac_3_6_sha256","mac_4_0_sha256"
"askpass","1.1","db40827d1bdbb90c0aa2846a2961d3bf9d76ad1b392302f9dd84cc2fd18c001f","048c5ce8bb6ddf539513547be1b835c7b91b1a191629e92461fcc053ef8e4719","f71ca2d51e2a56c393d0c1c3e770dbc35c983a3760613ab5b090c67914206c0f","4bb3c17d16e8d778061ad012165a4661727a4d7707f99d01cfa100f4ca86742a","486e344607fe06d2c82a33098aaad7c5febdc8b26ddef0fb762d45c41db0349f"
"covr","3.5.1","a54cfc3623ea56084158ac5d7fe33f216f45191f6dcddab9c9ed4ec1d9d8ac6c",NA,NA,"47b916f6077907205dc6612d295668d20cf1cdf23509ba549be2151156c8ade8","122a4f639b4915a0b33c932959ecc3b17f49cba7d4d5ec4a137afa41cd29b409"
"crayon","1.4.1","08b6e42e748d096960b2f32b7ffe690c25742e29fe14c19d1834cd6ff43029c7",NA,NA,"903bdcac6fef350675348ba00e67945fb5338ff7d26581a5176b536e9080dc9b","c4544251d2477f29ad62af3231f41b663c7619dde417192033319770bf576d4f"
"curl","4.3","7406d485bb50a6190e3ed201e3489063fd249b8b3b1b4f049167ac405a352edb",NA,"c3f8982a6484ff7fe045aabded1ddf7b5f2ffc5fc5b850f34206b87cb1f8509c","416a33fe287d58c8546a39b709736bb89db071f4b9f684355758776772377f3e","abc0a3832a280a19680c981df583ed9611ccc7bc617be1b615198edb7c877052"
"digest","0.6.27","f485f75122907da24c41d4a62c91a232f0c371befd2f77e973342a1bef00253f",NA,NA,"47904481ff340041253cc0d1896110c16156af5e7fac43b9b312ebbfc0047d88","91840b45a2316248463e2936e232fa29cf42862a71e1969ea54797619386924d"
"httr","1.4.2","462bed6ed0d92f811d5df4d294336025f1dbff357286999d9269bfd9c20b1ef9",NA,NA,"9c45da18e3aa30ff7af77a4838334f22d815bd8807f572c8a31a9cf4c76072b2","2cd61f4531421e9b0b9e54a0237b40803bd1e744ad538384ec79bdaff670542e"
"jsonlite","1.7.2","06354b50435942f67ba264f79831e577809ef89e5f9a5a2201985396fe651fd2",NA,NA,"7baed9ac8e8624a6648d5ee505fc5fce667e21e04dd3fd4ccf15710f899570d2","1a45e9875de5d0c0aa06aef782f4b592d9abd2f696d91693df583976e65c8db5"
"lazyeval","0.2.2","d6904112a21056222cfcd5eb8175a78aa063afe648a562d9c42c6b960a8820d4","1b13174f8d9245806a8a5960f271684ff2d08f4664596129f2aa61537f7aaeb7","c881286c56853bab278007f06cb7f55d96e1f4721dc4a30e56e231b9a98371ad","6b4bff2e795f883096dfe182f62d379e4df6a24bfad01e7783cf2c3143c561e6","4ce60a743aeb149e7db229751031711ce6d70e765a93181ba6a749633f6dca8d"
"magrittr","2.0.1","75c265d51cc2b34beb27040edb09823c7b954d3990a7a931e40690b75d4aad5f",NA,NA,"cd5589ffaf9f648aac8cf3e647b0466a23a387301d4066a581ce9ca7818b6d73","4fe9f4c64c022d4456ada145ba9bfbfa4e8ac901eff542c8c4b029c670a33ffd"
"mime","0.10","783233a15a817a7530d140e9825565a661aa4bdea7c635d11b9c74faa33be3f7",NA,NA,"869222b2adb7cf33c63b0ad695c44106d8208550abf62ddccccf8b8a94fd09e6","78dcd465972e29618feb2374f564a73545aaefb5498e929e66bdfea7f9b118a9"
"openssl","1.4.3","342001df8ecff5df2cdf757f123d35ea4b449751045f708b91f27c1be0d48269",NA,NA,"2f6df0ae972a1f67580f104c6b6ee3b0e59965367b06a021a169b15c41db3edf","23d7c009844438d3a3fc39376ade0b1fd0c71d53f6ca9b3195434a55d4311fc4"
"R6","2.5.0","aec1af9626ec532cb883b544bf9eff4cb2d89c343c7ce0fa31761ec5a7882e02",NA,NA,"a9281b8df7a9baa545ae7e097b289c8f1a20bceb4da94c1f1333fdc523ba503b","a1740b33444639d1eb28017096bb3e70ab6c67520a6128362eb6fe8943f64df1"
